0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,action
1.1,-0.77,0.07200000000000001,0.28116009674205195,0.009999999999999995,0.11270000000000002,0.51,-0.11,0.09525,0.08986065601808169,0.009999999999999995,0.048187499999999994,0.16,-0.91,-0.013250000000000001,0.20276078886214666,0.010000000000000002,0.10518750000000002,52.18,-67.78,-6.78425,16.588929424091837,2.185,8.3855875,271.11,-272.48,5.418500000000003,89.34948249850136,2.24,38.24945,174.56,-256.82,0.5400000000000006,67.8437229594603,1.9675,25.823,0
2.22,-2.07,-0.11525,0.9320139148639359,0.7275,0.6629375,1.64,-1.03,0.50075,0.6273810146155205,0.8775,0.5339375000000001,2.04,-2.29,-0.049250000000000016,0.891752172691494,0.6225,0.5949375,163.44,-315.97,-16.88725,107.27611302120104,88.5325,78.4305625,250.31,-249.7,23.088749999999997,125.26991029747526,104.03,91.857375,283.38,-259.9,22.44225,150.22210905002464,95.7325,109.476975,2
0.23,-0.01,0.0315,0.035815499438092445,0.009999999999999998,0.017325,0.12,-0.16,0.08925,0.04332363673562043,0.020000000000000004,0.020275000000000005,0.07,-0.13,-0.01025,0.02752158243996882,0.02,0.0158125,5.45,-19.43,-5.5115,4.6771783962128275,3.6650000000000005,3.3258,36.62,-26.01,0.7397499999999999,9.672738879836466,8.952499999999999,6.4906999999999995,18.32,-20.27,0.5117499999999999,7.198080607877353,7.67,5.3951625,0
1.92,-1.68,0.034,0.7369185843768632,0.47250000000000003,0.5061,2.26,-0.86,0.34675,0.7262795174724398,0.2575,0.5399624999999999,0.51,-0.68,-0.06999999999999999,0.2554603687463087,0.1375,0.17650000000000002,82.04,-267.17,-18.085,93.89528385387628,37.55,64.87125,245.15,-195.58,9.94275,84.9909901691791,86.41749999999999,61.181937500000004,281.53,-264.19,-3.0149999999999997,150.49245688738023,90.0975,103.28025,1
1.07,-0.73,0.020000000000000004,0.39942458612358855,0.455,0.31100000000000005,0.38,-0.21,0.13,0.122413234578619,0.15,0.0975,0.31,-1.73,-0.21000000000000002,0.34404214858066445,0.3375,0.22999999999999998,222.06,-246.95,-12.61925,80.00968858168054,63.397499999999994,54.894325,275.23,-270.46,-25.630249999999997,176.69906415269293,189.3175,145.8096875,101.54,-49.75,17.22425,36.648683938683256,51.1725,29.9089625,0
1.02,-0.79,0.19949999999999998,0.4708606481752324,0.595,0.38999999999999996,1.18,-0.69,0.46699999999999997,0.5976503994811683,0.955,0.5366500000000001,2.26,-1.84,0.10725,1.001676064154475,1.415,0.797525,224.83,-318.87,-12.132250000000003,163.37940360534282,187.2825,124.71220000000001,249.7,-272.12,-3.7702499999999985,129.34296578259486,132.4125,96.3733125,191.75,-188.61,2.531250000000001,85.7106657070023,73.4425,61.24912500000001,2
0.65,-0.58,0.08625000000000001,0.18057806483623642,0.03,0.0820625,0.42,0.0,0.08149999999999999,0.06436419812286952,0.012500000000000011,0.03204999999999999,0.04,-0.63,-0.04825,0.12763008070200377,0.03,0.0689375,69.62,-178.93,-8.4625,41.81088475205948,8.0825,18.338,272.73,-270.99,-2.1912500000000024,87.79991822853539,11.6075,40.10281249999999,125.67,-154.97,0.8639999999999987,44.48369677758359,8.785,21.790700000000005,0
0.85,-0.45,0.098,0.2712120941256123,0.08000000000000002,0.19250000000000003,1.5,-0.1,0.38275000000000003,0.46273635852394396,0.545,0.39285000000000003,-0.08,-1.5,-0.39825000000000005,0.4162144128931626,0.5975,0.355725,201.74,-117.72,11.49625,55.19614337467338,6.3925,32.529999999999994,209.96,-267.79,-17.64075,88.0827473852712,40.29,56.27508750000002,39.21,-261.66,-31.1375,71.50225436131367,36.3375,48.758750000000006,3
0.19,-0.53,0.028500000000000004,0.11750638280536084,0.14250000000000002,0.081375,0.41,-0.49,0.0855,0.1396594071303469,0.125,0.09432499999999999,0.5,-0.3,0.14925000000000002,0.18955721431799952,0.14,0.13951249999999998,204.85,-117.79,3.6309999999999993,51.80452715738269,34.3425,33.83275,147.98,-269.77,4.419250000000001,95.98920950782697,91.5325,70.37625,68.39,-48.94,2.8902499999999995,28.888565340589345,32.0225,22.325799999999997,0
1.83,-1.64,0.1085,0.6730919327996734,0.30500000000000005,0.42584999999999995,2.19,-0.9,0.356,0.759308237805965,0.29750000000000004,0.5705,0.87,-0.47,0.11800000000000002,0.24220033030530738,0.16499999999999998,0.1645,13.51,-165.09,-28.920499999999997,47.15375329440913,44.925000000000004,37.223175,272.56,-269.19,7.392000000000005,115.41451113703164,120.715,83.3356,281.53,-264.07,-9.905000000000001,150.71259744958283,39.6325,100.10625,1
0.47,-0.25,0.085,0.13109157104863758,0.1525,0.09924999999999999,0.19,-0.17,0.05874999999999999,0.08013075252360981,0.1,0.063375,0.27,-0.56,-0.057499999999999996,0.17324476904079963,0.11750000000000001,0.12462500000000001,59.16,-73.71,-8.092249999999998,27.852674331875203,30.0175,21.04775,151.89,-272.93,-36.92475,107.53057135037227,98.95750000000001,83.30143749999999,97.91,-48.18,7.433749999999999,30.35242747190906,23.5075,22.212812500000002,0
0.08,-0.48,-0.1055,0.13021040665015987,0.135,0.1011,0.35,-0.02,0.17650000000000002,0.07136350607978843,0.0625,0.051675000000000006,0.77,-0.17,0.0295,0.15168965027318113,0.1125,0.08985000000000001,91.73,-100.71,-19.14225,45.22733888299753,43.6425,34.111025,170.65,-175.8,-27.122749999999996,69.95775239340884,79.16,53.1582,144.01,-109.01,-4.279500000000001,52.31355856515594,73.41,41.412575000000004,0
0.02,-0.57,-0.22325,0.12027858288157538,0.12500000000000003,0.09125,0.52,0.0,0.31825000000000003,0.10466344872972608,0.1225,0.08251249999999999,-0.2,-0.88,-0.6612500000000001,0.13145697965494263,0.12750000000000006,0.09487499999999996,32.66,-46.93,-11.0835,20.503230056505732,25.3775,16.375474999999998,110.25,-147.21,-15.989500000000001,63.135335627127226,70.2575,51.031925,45.42,-86.47,-2.373,26.560344801978758,21.432499999999997,19.5898,0
0.54,-0.43,0.07175000000000001,0.20615391701347807,0.2125,0.1515125,0.82,-0.69,0.203,0.343985464809198,0.3425,0.24674999999999994,0.48,-1.07,-0.15899999999999997,0.28600524470715566,0.2425,0.19614999999999996,75.47,-71.21,7.15,34.06605986902507,34.165,26.495000000000005,156.59,-117.38,9.983999999999998,44.596839002332885,35.78,30.9347,99.82,-64.41,6.731,39.092561939581294,50.9075,29.9909,4
2.42,-1.69,0.003499999999999992,0.8300197286811922,0.27249999999999996,0.4988499999999999,1.71,-0.52,0.28775,0.5364628948026136,0.1575,0.38851250000000004,0.56,-0.65,-0.039749999999999994,0.23689119337788814,0.1575,0.1627875,81.7,-263.97,-24.512749999999997,75.80457116782273,74.7975,56.1097125,240.34,-140.63,27.167,65.99664685421526,41.629999999999995,45.23795,281.57,-263.99,-6.275000000000003,145.2458595106931,37.79,93.048,1
1.52,-1.58,0.21175000000000002,0.8543356702725223,1.3975,0.7470125000000001,1.94,-0.5,0.78,0.7848630453779818,1.6,0.7220000000000001,0.64,-0.64,0.25950000000000006,0.28023160064489516,0.45500000000000007,0.233975,68.44,-266.75,-23.103,66.34016110924061,31.747499999999995,43.12235,269.84,-270.28,8.6125,95.3925740230863,29.15,60.73412499999999,280.39,-265.21,-9.589749999999999,132.30514303094003,20.9775,80.90862499999999,1
1.67,-1.5,0.010999999999999987,0.7251785986913845,0.5425,0.5013500000000001,1.23,-1.16,0.23075,0.5498244606235703,0.3425,0.37897499999999995,1.92,-2.01,-0.18125,0.7176077880708932,0.25,0.418625,152.01,-266.46,-8.1835,102.34314155208448,133.41000000000003,73.390175,275.06,-270.45,4.224250000000001,148.20423738691653,165.515,110.164525,281.67,-263.8,26.639499999999998,142.7494590523901,114.5125,106.68249999999998,2
0.26,-0.16,0.08425,0.11317878555630467,0.165,0.09325000000000001,0.9,-0.67,0.06975,0.30947930060021783,0.30250000000000005,0.21835,0.24,-0.47,-0.065,0.19570385790780928,0.23249999999999998,0.15975,99.12,-147.8,-0.2105000000000004,47.51019690287549,30.645,31.8944,201.4,-110.06,16.0325,64.01028900692451,57.08749999999999,46.155875,82.78,-95.21,-3.467999999999999,40.27324764654571,44.8725,31.2993,4
-0.1,-0.37,-0.2575,0.07425462948530549,0.12,0.06375,0.79,0.19,0.45475000000000004,0.13634492106418927,0.21000000000000002,0.1100125,-0.41,-1.07,-0.7717499999999999,0.19493444410878238,0.3225000000000001,0.175575,67.75,-109.07,-18.067249999999998,37.78178185233592,38.13,28.278612499999998,70.16,-141.76,-10.851499999999998,37.84268585539351,33.42,26.076374999999995,40.96,-61.97,-5.506749999999999,28.806864232982733,50.614999999999995,24.8387625,0
0.33,-0.53,-0.14900000000000002,0.14640355186948165,0.16999999999999998,0.10585,0.72,-0.16,0.15075,0.17152824111498374,0.13,0.12032500000000002,0.82,-0.29,0.011749999999999988,0.22621767724914868,0.135,0.1465375,89.73,-126.9,-4.214999999999999,44.83516516084222,46.832499999999996,32.289,158.7,-190.27,1.1399999999999988,76.68663172287593,83.37,59.48499999999999,89.31,-108.33,-7.607249999999999,50.283530752498876,72.3,42.6888875,0
1.41,-1.81,0.0125,0.5109733358992424,0.0825,0.282375,2.14,-0.47,0.32775,0.6179623269261647,0.04250000000000001,0.4569,0.65,-0.33,0.08375,0.18471176871006353,0.05000000000000002,0.11762500000000001,41.94,-266.71,-33.986000000000004,80.35194240962691,25.895000000000003,58.60050000000001,272.79,-269.52,13.242500000000001,91.67240151076005,43.7775,58.622,281.37,-264.37,-14.7925,123.3458989741856,23.67,77.67075,1
-0.1,-0.37,-0.2285,0.06832093383436734,0.08250000000000002,0.053925,0.33,0.04,0.1875,0.05876861407247919,0.07,0.046875,0.04,-0.37,-0.1715,0.10909972502256823,0.17,0.092,49.39,-86.01,-6.8405000000000005,31.65505156764083,39.6425,25.62255,71.52,-149.17,-6.3950000000000005,53.82418197241831,70.97999999999999,43.133500000000005,60.08,-45.21,4.524500000000001,23.961831206107764,26.5475,19.004125,0
0.84,-0.65,-0.004000000000000001,0.34680542094955785,0.1925,0.2473,1.78,0.02,0.6180000000000001,0.5798413576143048,0.7274999999999999,0.49990000000000007,0.5,-1.53,-0.32475,0.3380605530078894,0.20249999999999999,0.22291249999999999,117.82,-265.22,-8.88175,69.126182119639,13.465,40.99612499999999,272.99,-265.27,8.869750000000002,107.97589218171574,32.335,64.1461875,279.45,-264.28,-14.092250000000002,103.28392146136542,28.237499999999997,60.3447625,3
0.88,-1.05,0.12725,0.5014079551622611,0.6325000000000001,0.40230000000000005,1.25,-1.06,0.33025,0.5889587740241247,0.7775,0.5057499999999999,2.35,-1.99,0.17925,1.1459349621597203,1.7525,0.9157874999999999,224.72,-318.87,-11.872750000000002,160.02573797654395,135.9425,117.8558,252.7,-271.85,-0.2932500000000033,112.35070892939439,44.5825,74.6147375,282.65,-259.55,8.143499999999998,114.15059718525349,56.17,71.50970000000001,2
0.09,-0.35,-0.101,0.10834666584625481,0.1725,0.0891,0.4,-0.11,0.183,0.13680643259730152,0.18000000000000002,0.10969999999999999,0.17,-0.25,0.019,0.09013323471395,0.1325,0.07250000000000001,75.26,-46.15,23.26825,30.586580218087477,47.995,25.995337500000005,105.3,-50.77,28.0015,37.33186096017717,49.0025,29.807,79.07,-107.32,3.113000000000001,51.76530286784769,76.44749999999999,44.3332,0
