-0.54,0.33,0.0,-57.59,-186.99,-39.97
-0.84,0.01,0.12,-30.13,-197.97,134.32
-1.09,-0.39,0.46,-19.16,-51.76,280.85
-1.85,-0.66,0.29,-22.12,-15.11,282.55
-1.08,-0.12,0.33,4.22,-52.42,282.69
-0.42,0.44,0.27,29.72,-88.43,282.56
0.14,0.97,-0.02,89.56,-63.09,253.67
0.87,1.76,-0.47,120.87,41.12,70.83
0.9,2.08,-0.17,62.6,-51.32,50.19
0.55,2.37,-0.02,27.49,9.49,35.75
0.5,2.34,0.04,-5.34,86.86,38.48
0.57,2.16,0.05,-9.13,33.54,-29.87
0.58,2.02,0.01,-4.95,16.7,-104.16
0.26,1.84,0.06,-10.86,-38.4,-192.29
0.01,1.64,-0.04,-65.65,-70.29,-259.64
-0.44,1.32,0.22,-213.87,-16.1,-261.08
-0.57,0.81,0.43,-169.1,-24.66,-261.22
-0.78,0.39,0.41,-123.16,59.46,-259.55
-0.51,-0.12,0.34,-91.33,43.53,-259.55
-0.49,-0.36,0.06,0.01,164.16,-226.91
-0.51,-0.3,0.04,34.51,110.6,-185.83
-0.26,0.04,-0.17,46.42,257.73,-56.92
-0.38,0.16,-0.03,21.18,166.89,25.05
-0.23,0.18,0.03,-0.19,35.55,21.68
-0.12,0.17,0.02,-9.28,63.94,23.77
-0.16,0.14,0.08,-10.06,54.72,26.65
-0.12,0.1,0.1,-13.97,10.92,15.18
-0.1,0.11,0.08,-3.94,8.23,8.6
-0.1,0.13,0.04,2.08,9.3,5.91
-0.1,0.14,0.02,0.58,5.88,-0.25
-0.1,0.15,0.0,-0.91,5.39,-4.6
-0.11,0.14,0.0,-3.99,5.29,-4.08
-0.11,0.15,0.01,-5.53,4.71,-2.03
-0.11,0.15,0.01,-6.07,-1.23,-2.42
-0.11,0.14,0.02,-4.97,3.86,0.0
-0.11,0.14,0.01,-4.09,0.5,2.39
-0.1,0.13,0.01,-4.2,1.1,3.15
-0.1,0.15,0.02,-5.1,-1.49,2.42
-0.1,0.14,0.0,-3.81,-0.22,1.98
-0.09,0.13,0.0,-4.76,0.09,1.54
