-0.29,-0.99,0.34,-85.34,-90.52,87.62
-0.48,-1.02,-0.03,189.94,-74.27,250.15
-0.8,-0.38,-0.5,225.23,-219.28,255.95
0.21,0.64,-1.21,225.26,-239.59,283.87
0.68,1.49,-0.64,223.93,-262.83,282.58
1.38,2.43,-1.14,223.93,28.58,209.31
1.93,2.15,-0.87,223.93,-19.38,281.25
2.3,1.15,-1.55,66.5,74.55,-187.82
0.42,0.3,-0.61,-317.14,-11.06,-259.5
-1.13,-1.01,1.56,-320.21,-265.39,-261.21
1.01,0.63,1.57,183.81,110.27,188.59
0.41,1.43,1.43,-51.66,22.96,-16.33
0.27,1.15,1.11,-41.42,-66.68,-22.41
0.35,1.28,0.92,11.65,22.28,29.51
0.2,1.19,0.62,5.41,49.77,35.28
0.18,1.1,0.51,-20.35,47.4,32.8
-0.04,1.15,0.7,-96.26,83.47,-4.4
-0.24,0.83,0.76,-178.02,162.06,-61.49
-0.54,0.46,1.07,-198.76,47.92,-107.34
-0.26,0.01,0.69,-172.75,99.99,-120.59
-0.23,-0.33,0.71,-151.45,90.69,-148.08
-0.51,-0.2,0.62,-142.22,69.84,-113.62
-0.28,-0.06,0.44,-133.57,-111.11,-46.58
0.27,-0.08,0.25,-46.03,72.93,-5.3
-0.33,0.09,0.26,7.06,165.27,52.31
-0.17,0.08,0.05,1.51,-22.72,-11.4
0.0,0.1,0.0,8.3,-13.57,15.81
-0.02,0.11,0.0,14.04,27.76,28.96
-0.03,0.12,0.0,13.74,23.46,26.67
-0.02,0.11,0.0,3.58,-1.13,15.35
-0.01,0.12,0.01,-1.62,-1.58,4.35
-0.02,0.12,0.02,-5.94,-4.08,-6.02
-0.02,0.12,0.03,-6.26,-1.38,-10.75
-0.04,0.12,0.03,-7.24,0.5,-13.91
-0.05,0.11,0.04,-4.9,-0.43,-9.96
-0.05,0.11,0.03,-5.29,0.23,-1.03
-0.04,0.11,0.04,-3.1,0.43,5.79
-0.03,0.11,0.04,-1.67,-0.58,7.92
-0.02,0.11,0.04,-2.6,-3.36,5.24
-0.01,0.11,0.04,-1.31,-1.41,5.55
