-0.2,0.16,-0.07,35.38,241.39,90.67
-0.23,0.06,0.0,81.14,271.67,134.18
-0.57,0.02,0.34,204.47,269.95,172.25
-1.42,0.23,0.0,223.58,269.95,276.1
-1.96,0.17,-0.49,144.93,119.68,283.08
-1.93,0.03,-0.82,4.27,-16.87,282.95
-1.39,0.25,-0.77,2.5,-148.1,284.75
-0.78,0.56,-0.59,73.85,-170.92,284.76
-0.12,0.89,-0.45,112.29,-135.71,284.75
0.38,0.97,-0.89,221.62,-89.09,236.97
0.63,0.92,-1.24,223.59,-32.67,83.7
0.66,0.91,-1.46,202.69,75.89,-92.51
0.48,0.85,-1.74,150.88,102.02,-216.0
0.53,0.49,-2.01,29.78,77.35,-259.11
0.76,-0.8,-2.09,-305.4,88.26,-260.71
-0.74,-1.01,-1.33,-320.54,258.48,-260.71
-0.71,-0.33,0.08,-312.83,-210.88,-260.62
0.34,-0.75,1.54,-180.84,1.95,121.0
0.64,-0.6,1.07,-81.72,-23.87,8.69
0.44,-0.01,0.87,-18.96,-7.99,21.15
0.31,0.18,0.66,-24.16,29.4,1.97
0.24,0.3,0.4,-37.57,46.85,18.21
0.22,0.22,0.29,-53.74,56.24,22.53
0.14,0.01,0.25,-129.7,65.37,-4.47
0.12,-0.17,0.25,-111.53,51.96,-25.75
0.09,-0.09,0.24,-72.41,84.89,-18.63
0.0,-0.2,0.14,-52.11,96.41,-42.98
-0.16,-0.15,0.03,-49.97,167.48,-34.5
-0.32,-0.08,-0.05,-41.49,151.29,-8.19
-0.3,0.04,-0.08,-4.09,125.5,18.06
-0.23,0.15,-0.13,8.68,130.03,27.45
-0.36,0.14,-0.14,10.26,101.81,28.62
-0.35,0.19,-0.15,-11.21,45.78,32.46
-0.24,0.1,-0.16,3.87,6.23,29.74
0.03,0.11,-0.17,12.57,26.29,12.01
-0.21,0.15,-0.02,-12.59,-1.7,-7.27
-0.16,0.13,-0.15,-5.41,-79.49,-8.2
-0.11,0.1,-0.2,-2.61,-57.05,0.88
-0.1,0.16,-0.18,-3.41,-30.9,9.02
-0.01,0.07,-0.14,19.42,-10.27,-37.74
